url,parent,child,depth
https://www.nseindia.com/resources/exchange-communication-media-center-archives,resources,exchange-communication-media-center-archives,2
https://www.nseindia.com/trade/membership-default-declaration,trade,membership-default-declaration,2
https://www.nseindia.com/nse-foundation/event-gallery,nse-foundation,event-gallery,2
https://www.nseindia.com/trade/platform-services-co-location-facility,trade,platform-services-co-location-facility,2
https://www.nseindia.com/products-services/commodity-derivatives-trading-locations,products-services,commodity-derivatives-trading-locations,2
https://www.nseindia.com/learn/self-study-ncfm-modules-advanced-modules,learn,self-study-ncfm-modules-advanced-modules,2
https://www.nseindia.com/products-services/currency-derivatives-penalties,products-services,currency-derivatives-penalties,2
https://www.nseindia.com/investor-relations/board-meetings,investor-relations,board-meetings,2
https://www.nseindia.com/products-services/commodity-derivatives-risk-management,products-services,commodity-derivatives-risk-management,2
https://www.nseindia.com/resources/research-initiative-financial-market-nse-awards,resources,research-initiative-financial-market-nse-awards,2
https://www.nseindia.com/companies-listing/corporate-filings-daily-buy-back,companies-listing,corporate-filings-daily-buy-back,2
https://www.nseindia.com/products-services/equity-derivatives-corporate-actions-adjustments,products-services,equity-derivatives-corporate-actions-adjustments,2
https://www.nseindia.com/products-services/commodity-derivatives-margins,products-services,commodity-derivatives-margins,2
https://www.nseindia.com/products-services/corporate-bonds-clearing-settlement-reports,products-services,corporate-bonds-clearing-settlement-reports,2
https://www.nseindia.com/invest/arbitration-awards,invest,arbitration-awards,2
https://www.nseindia.com/nse-data-and-analytics/data-information-vending,nse-data-and-analytics,data-information-vending,2
https://www.nseindia.com/products-services/emerge-sme-market-makers,products-services,emerge-sme-market-makers,2
https://www.nseindia.com/products-services/interest-rate-derivatives-settlement-mechanism,products-services,interest-rate-derivatives-settlement-mechanism,2
https://www.nseindia.com/nse-clearing/connect-2-nse,nse-clearing,connect-2-nse,2
https://www.nseindia.com/products-services/indices-niftylargemidcap250-index,products-services,indices-niftylargemidcap250-index,2
https://www.nseindia.com/products-services/equity-derivatives-clearing-mechanism,products-services,equity-derivatives-clearing-mechanism,2
https://www.nseindia.com/trade/platform-services-non-neat-internet-based-training,trade,platform-services-non-neat-internet-based-training,2
https://www.nseindia.com/trade/membership-stamp-duty,trade,membership-stamp-duty,2
https://www.nseindia.com/products-services/corporate-bonds-settlement-schedule,products-services,corporate-bonds-settlement-schedule,2
https://www.nseindia.com/learn/self-study-ncfm-modules-foundation-mutual-funds,learn,self-study-ncfm-modules-foundation-mutual-funds,2
https://www.nseindia.com/learn/test-details,learn,test-details,2
https://www.nseindia.com/products-services/commodity-derivatives-trading-system,products-services,commodity-derivatives-trading-system,2
https://www.nseindia.com/learn/classroom-courses-certifications-option-strategies,learn,classroom-courses-certifications-option-strategies,2
https://www.nseindia.com/products-services/emerge-institutional-trading-platform-market-segment,products-services,emerge-institutional-trading-platform-market-segment,2
https://www.nseindia.com/products-services/indices-fixed-income-corporate-bond-indices,products-services,indices-fixed-income-corporate-bond-indices,2
https://www.nseindia.com/nse-foundation/nse-philosophy,nse-foundation,nse-philosophy,2
https://www.nseindia.com/products-services/equity-market-voluntary-close-out,products-services,equity-market-voluntary-close-out,2
https://www.nseindia.com/products-services/non-competitive-bidding-key-features,products-services,non-competitive-bidding-key-features,2
https://www.nseindia.com/nse-clearing/clearing-members,nse-clearing,clearing-members,2
https://www.nseindia.com/products-services/mf-trading-using-neat,products-services,mf-trading-using-neat,2
https://www.nseindia.com/companies-listing/raising-capital-listing-benefits,companies-listing,raising-capital-listing-benefits,2
https://www.nseindia.com/invest/glossary,invest,glossary,2
https://www.nseindia.com/products-services/indices-niftymidcap50-index,products-services,indices-niftymidcap50-index,2
https://www.nseindia.com/nse-data-and-analytics/financial-information-disclosures,nse-data-and-analytics,financial-information-disclosures,2
https://www.nseindia.com/products-services/indices-fixed-income-money-market-indices,products-services,indices-fixed-income-money-market-indices,2
https://www.nseindia.com/products-services/commodity-derivatives-spot-price-polling-mechanism,products-services,commodity-derivatives-spot-price-polling-mechanism,2
https://www.nseindia.com/investor-relations/shareholders-meetings,investor-relations,shareholders-meetings,2
https://www.nseindia.com/all-reports/commodity-compliance-reports,all-reports,commodity-compliance-reports,2
https://www.nseindia.com/careers-at-nse/jobs,careers-at-nse,jobs,2
https://www.nseindia.com/learn/self-study-ncfm-modules-foundation-equity-derivatives,learn,self-study-ncfm-modules-foundation-equity-derivatives,2
https://www.nseindia.com/products-services/currency-derivatives-clearing-mechanism,products-services,currency-derivatives-clearing-mechanism,2
https://www.nseindia.com/learn/self-study-ncfm-modules-intermediate-wealth-management-module,learn,self-study-ncfm-modules-intermediate-wealth-management-module,2
https://www.nseindia.com/nseint_clearing/nse-international-clearing-financial-information,nseint_clearing,nse-international-clearing-financial-information,2
https://www.nseindia.com/nse-investments/board-of-directors,nse-investments,board-of-directors,2
https://www.nseindia.com/learn/test-centres,learn,test-centres,2
https://www.nseindia.com/reports/gsm,reports,gsm,2
https://www.nseindia.com/resources/research-initiative-corporate-governance-nse-iim-bangalore,resources,research-initiative-corporate-governance-nse-iim-bangalore,2
https://www.nseindia.com/nse-indices/contact-us,nse-indices,contact-us,2
https://www.nseindia.com/nsccl-nse-clearing/clearing-settlement,nsccl-nse-clearing,clearing-settlement,2
https://www.nseindia.com/products-services/slbs-clearing-settlement-eligible-securities,products-services,slbs-clearing-settlement-eligible-securities,2
https://www.nseindia.com/resources/research-initiative-financial-market-past,resources,research-initiative-financial-market-past,2
https://www.nseindia.com/products-services/commodity-derivatives-clearing-settlement,products-services,commodity-derivatives-clearing-settlement,2
https://www.nseindia.com/companies-listing/listing-processing-fees-for-private-debt-placement,companies-listing,listing-processing-fees-for-private-debt-placement,2
https://www.nseindia.com/products-services/equity-market-special-pre-open-session,products-services,equity-market-special-pre-open-session,2
https://www.nseindia.com/market-data/capital-turnover-business-growth,market-data,capital-turnover-business-growth,2
https://www.nseindia.com/learn/nse-educational-programs,learn,nse-educational-programs,2
https://www.nseindia.com/products-services/equity-derivatives-contract-specifications,products-services,equity-derivatives-contract-specifications,2
https://www.nseindia.com/trade/membership-cyber-security,trade,membership-cyber-security,2
https://www.nseindia.com/products-services/equity-market-pre-open,products-services,equity-market-pre-open,2
https://www.nseindia.com/structure-and-key-personnel/management,structure-and-key-personnel,management,2
https://www.nseindia.com/learn/certification-nse-academy-certified-market-professional-ncmp,learn,certification-nse-academy-certified-market-professional-ncmp,2
https://www.nseindia.com/products-services/indices-niftymidcap150-index,products-services,indices-niftymidcap150-index,2
https://www.nseindia.com/companies-listing/raising-capital-public-issues-invit-process,companies-listing,raising-capital-public-issues-invit-process,2
https://www.nseindia.com/products-services/negotiated-trade-reporting-platform-brokerage-rates,products-services,negotiated-trade-reporting-platform-brokerage-rates,2
https://www.nseindia.com/trade/members-compliance-handbook,trade,members-compliance-handbook,2
https://www.nseindia.com/products-services/equity-derivatives-settlement-schedule,products-services,equity-derivatives-settlement-schedule,2
https://www.nseindia.com/trade/members-faqs-margin-collection-and-reporting,trade,members-faqs-margin-collection-and-reporting,2
https://www.nseindia.com/products-services/etfs-gold,products-services,etfs-gold,2
https://www.nseindia.com/products-services/commodity-derivatives-voluntary-close-out-facility,products-services,commodity-derivatives-voluntary-close-out-facility,2
https://www.nseindia.com/invest/exit-option-for-share-holders-security-information,invest,exit-option-for-share-holders-security-information,2
https://www.nseindia.com/products-services/innovators-growth-platform-checklist-for-accredited-investors,products-services,innovators-growth-platform-checklist-for-accredited-investors,2
https://www.nseindia.com/reports/price-band-changes,reports,price-band-changes,2
https://www.nseindia.com/nse-clearing/contact-us,nse-clearing,contact-us,2
https://www.nseindia.com/products-services/equity-derivatives-niftyit,products-services,equity-derivatives-niftyit,2
https://www.nseindia.com/products-services/equity-market-margin-shortfall,products-services,equity-market-margin-shortfall,2
https://www.nseindia.com/products-services/emerge-nse-nmf-help-videos,products-services,emerge-nse-nmf-help-videos,2
https://www.nseindia.com/learn/online-courses-certifications-recorded-fundamental-analysis-for-equity,learn,online-courses-certifications-recorded-fundamental-analysis-for-equity,2
https://www.nseindia.com/products-services/about-non-competitive-bidding,products-services,about-non-competitive-bidding,2
https://www.nseindia.com/products-services/equity-market-margin-institutional-deals,products-services,equity-market-margin-institutional-deals,2
https://www.nseindia.com/market-data/sovereign-gold-bond,market-data,sovereign-gold-bond,2
https://www.nseindia.com/products-services/equity-market-computer-to-computer-link-trading-ctcl,products-services,equity-market-computer-to-computer-link-trading-ctcl,2
https://www.nseindia.com/products-services/commodity-derivatives-products,products-services,commodity-derivatives-products,2
https://www.nseindia.com/invest/first-time-investor-fraud-dos-and-donts,invest,first-time-investor-fraud-dos-and-donts,2
https://www.nseindia.com/products-services/tri-party-repo-participants-eligibility,products-services,tri-party-repo-participants-eligibility,2
https://www.nseindia.com/nse-clearing/guarantee,nse-clearing,guarantee,2
https://www.nseindia.com/nse-international-exchange/membership-structure,nse-international-exchange,membership-structure,2
https://www.nseindia.com/products-services/commodity-derivatives-contract-specifications-energy,products-services,commodity-derivatives-contract-specifications-energy,2
https://www.nseindia.com/products-services/traded-on-cm,products-services,traded-on-cm,2
https://www.nseindia.com/learn/classroom-courses-certifications-technical-analysis,learn,classroom-courses-certifications-technical-analysis,2
https://www.nseindia.com/trade/membership-eligibility-criteria,trade,membership-eligibility-criteria,2
https://www.nseindia.com/products-services/emerge-sme-trading-lots,products-services,emerge-sme-trading-lots,2
https://www.nseindia.com/products-services/equity-derivatives-pc-span,products-services,equity-derivatives-pc-span,2
https://www.nseindia.com/companies-listing/corporate-filings-share-transfers,companies-listing,corporate-filings-share-transfers,2
https://www.nseindia.com/regulations/exchange-disclosures-details-of-vigil-mechanism,regulations,exchange-disclosures-details-of-vigil-mechanism,2
https://www.nseindia.com/products-services/equity-market-trading,products-services,equity-market-trading,2
https://www.nseindia.com/invest/new-arbitration-awards,invest,new-arbitration-awards,2
https://www.nseindia.com/dr-r-h-patil-memorial-lecture-2019,,dr-r-h-patil-memorial-lecture-2019,1
https://www.nseindia.com/learn/self-study-ncfm-modules-foundation-interest-rate-derivatives,learn,self-study-ncfm-modules-foundation-interest-rate-derivatives,2
https://www.nseindia.com/dr-r-h-patil-memorial-lecture-2018,,dr-r-h-patil-memorial-lecture-2018,1
https://www.nseindia.com/trade/members-faqs-nri-trading-account,trade,members-faqs-nri-trading-account,2
https://www.nseindia.com/products-services/emerge-feedback,products-services,emerge-feedback,2
https://www.nseindia.com/products-services/interest-rate-derivatives-risk-management,products-services,interest-rate-derivatives-risk-management,2
https://www.nseindia.com/nse-clearing/interoperability-circulars,nse-clearing,interoperability-circulars,2
https://www.nseindia.com/products-services/interest-rate-derivatives-data-reports-download,products-services,interest-rate-derivatives-data-reports-download,2
https://www.nseindia.com/nse-clearing/company-secretary,nse-clearing,company-secretary,2
https://www.nseindia.com/structure-and-key-personnel/committees-under-regulation,structure-and-key-personnel,committees-under-regulation,2
https://www.nseindia.com/companies-listing/raising-capital-public-issues-emerge-eligibility-criteria,companies-listing,raising-capital-public-issues-emerge-eligibility-criteria,2
https://www.nseindia.com/trade/members-sebi-turnover-fees,trade,members-sebi-turnover-fees,2
https://www.nseindia.com/invest/first-time-investor-opening-an-account,invest,first-time-investor-opening-an-account,2
